Course name,Course ID,Top Ten View Counts,Top Ten Course IDs,Top Ten Course Names
6.002x - Circuits and Electronics,321,"12, 8, 7, 5, 4, 4, 4, 4, 4, 4","446, 1232, 376, 716, 1174, 1173, 444, 619, 892, 993","6.00x: Introduction to Computer Science and Programming, Principles of Electric Circuits: Part 1, Automata, Introduction to Power Electronics, Basic Physics, Plagues, Witches, and War: The Worlds of Historical Fiction, 6.002x: Circuits and Electronics, Digital System Design, Becoming Human: Anthropology, Mathe-MOOC: Mathematisch denken!"
Computer Vision: The Fundamentals,322,"139, 106, 39, 38, 37, 37, 37, 36, 35, 34","341, 1022, 548, 855, 1020, 318, 1176, 339, 373, 375","Computer Vision: From 3D Reconstruction to Visual Recognition, CS 4495, Computer Vision, CS184.1x: Foundations of Computer Graphics, Einführung in Computer Vision, CS 7641, Machine Learning, Computer Security, Concepts in Game Development, Algorithms, Part I, Machine Learning, Computer Science 101"
Design of Computer Programs,323,"111, 75, 71, 71, 64, 59, 55, 54, 49, 48","375, 320, 442, 325, 324, 303, 1010, 831, 592, 319","Computer Science 101, Introduction to Computer Science, CS50x: Introduction to Computer Science, Programming Languages, Web Development, Introduction to Databases, DCO042 - Python For Informatics, Introduction to Programming in Java, Introduction to Artificial Intelligence, Artificial Intelligence for Robotics"
Web Development,324,"89, 88, 64, 62, 52, 50, 41, 40, 37, 37","325, 320, 323, 551, 442, 1010, 904, 831, 365, 375","Programming Languages, Introduction to Computer Science, Design of Computer Programs, HTML5 Game Development, CS50x: Introduction to Computer Science, DCO042 - Python For Informatics, User Experience for the Web, Introduction to Programming in Java, Software Testing, Computer Science 101"
Programming Languages,325,"99, 89, 82, 71, 56, 49, 48, 40, 39, 37","320, 324, 442, 323, 1010, 831, 551, 328, 365, 364","Introduction to Computer Science, Web Development, CS50x: Introduction to Computer Science, Design of Computer Programs, DCO042 - Python For Informatics, Introduction to Programming in Java, HTML5 Game Development, Compilers, Software Testing, Algorithms"
CS387 - Applied Cryptography,326,"43, 32, 29, 29, 28, 25, 21, 21, 21, 21","616, 320, 323, 365, 325, 455, 1325, 1010, 364, 375","Cryptography I, Introduction to Computer Science, Design of Computer Programs, Software Testing, Programming Languages, Intro to Theoretical Computer Science, Introduction to Cybersecurity, DCO042 - Python For Informatics, Algorithms, Computer Science 101"
Learning from Data (Introductory Machine Learning course),327
Compilers,328,"80, 65, 42, 40, 40, 39, 38, 37, 35, 34","303, 375, 835, 325, 1176, 339, 590, 323, 366, 442","Introduction to Databases, Computer Science 101, Machine Learning, Programming Languages, Concepts in Game Development, Algorithms, Part I, Introduction to Internetworking with TCP/IP, Design of Computer Programs, Learning from Data (Introductory Machine Learning course), CS50x: Introduction to Computer Science"
Introduction to Logic,329,"37, 37, 32, 31, 29, 25, 21, 21, 20, 20","835, 370, 374, 376, 375, 917, 303, 1010, 824, 308","Machine Learning, Introduction to Mathematical Thinking, Algorithms: Design and Analysis, Part 1, Automata, Computer Science 101, EDUC115N: How to Learn Math, Introduction to Databases, DCO042 - Python For Informatics, Computer Networks, Game Theory"
Automata Theory,330
Calculus: Single Variable,331,"159, 80, 67, 60, 59, 52, 51, 48, 47, 46","563, 1337, 388, 370, 595, 1580, 1579, 442, 1335, 1182","Calculus One, Linear Algebra - Foundations to Frontiers, Computing for Data Analysis, Introduction to Mathematical Thinking, Computational Methods for Data Analysis, DB: Introduction to Databases, StatLearning: Statistical Learning, CS50x: Introduction to Computer Science, UT.9.01x: Effective Thinking Through Mathematics, Introduction to Dynamical Systems and Chaos"
"Analytic Combinatorics, Part I",332,"19, 17, 11, 8, 7, 6, 6, 6, 5, 5","333, 922, 370, 1337, 1313, 1623, 921, 629, 334, 331","Analytic Combinatorics, Part II, Analytic Combinatorics, Introduction to Mathematical Thinking, Linear Algebra - Foundations to Frontiers, An Introduction to Functional Analysis, 15.071x: The Analytics Edge, Analysis of Algorithms, Visualizing Algebra, Statistics One, Calculus: Single Variable"
"Analytic Combinatorics, Part II",333,"19, 8, 5, 5, 5, 4, 4, 4, 3, 3","332, 922, 595, 720, 370, 1579, 374, 627, 514, 329","Analytic Combinatorics, Part I, Analytic Combinatorics, Computational Methods for Data Analysis, Linear and Integer Programming, Introduction to Mathematical Thinking, StatLearning: Statistical Learning, Algorithms: Design and Analysis, Part 1, Information Visualization, Intermediate Algebra, Introduction to Logic"
Statistics One,334,"91, 73, 48, 46, 43, 40, 40, 35, 35, 30","361, 386, 1349, 388, 614, 596, 595, 631, 370, 922","Introduction to Statistics, Data Analysis, Data Analysis and Statistical Inference , Computing for Data Analysis, Stat2.1x: Introduction to Statistics: Descriptive Statistics, Mathematical Biostatistics Boot Camp 1, Computational Methods for Data Analysis, Statistics, Introduction to Mathematical Thinking, Analytic Combinatorics"
"Internet History, Technology, and Security",335,"73, 56, 54, 49, 45, 43, 43, 42, 41, 38","1523, 339, 627, 1480, 650, 417, 1578, 1325, 1176, 370","Building Mobile Experiences, Algorithms, Part I, Information Visualization, Intro to Data Science, Designing and Executing Information Security Strategies, Information Security and Risk Management in Context, Networking: Introduction to Computer Networking, Introduction to Cybersecurity, Concepts in Game Development, Introduction to Mathematical Thinking"
Networked Life,336,"8, 7, 6, 6, 6, 6, 6, 5, 5, 5","359, 434, 317, 343, 383, 421, 352, 338, 460, 905","Networks: Friends, Money, and Bytes, Introduction to Sustainability, Model Thinking, Gamification, Think Again: How to Reason and Argue, E-learning and Digital Cultures, Fantasy and Science Fiction: The Human Mind, Our Modern World, Social Network Analysis, Introduction to Computational Finance and Financial Econometrics, Writing for the Web"
Securing Digital Democracy,337,"7, 7, 6, 5, 5, 5, 5, 5, 5, 4","352, 345, 335, 338, 610, 747, 317, 351, 306, 622","Fantasy and Science Fiction: The Human Mind, Our Modern World, Introduction to Finance, Internet History, Technology, and Security, Social Network Analysis, ER22x: Justice, Democratic Development, Model Thinking, A History of the World since 1300, Human-Computer Interaction, Introduction to Infographics and Data Visualization"
Social Network Analysis,338,"21, 18, 15, 14, 13, 12, 10, 10, 10, 9","744, 317, 386, 308, 408, 306, 893, 900, 1007, 376","Social and Economic Networks:  Models and Analysis, Model Thinking, Data Analysis, Game Theory, An Introduction to Interactive Programming in Python, Human-Computer Interaction, Big Data for Better Performance, Principles of Project Management, Introduction to Enterprise Computing, Automata"
"Algorithms, Part I",339,"232, 157, 121, 120, 119, 108, 99, 91, 88, 80","921, 340, 1578, 1580, 1586, 1480, 442, 627, 1178, 1176","Analysis of Algorithms, Algorithms, Part II, Networking: Introduction to Computer Networking, DB: Introduction to Databases, Introduction to Computer Programming, Intro to Data Science, CS50x: Introduction to Computer Science, Information Visualization, Programming Mobile Applications for Android Handheld Systems, Concepts in Game Development"
"Algorithms, Part II",340,"157, 92, 65, 58, 57, 52, 47, 42, 42, 38","339, 921, 376, 922, 1176, 1580, 1243, 442, 1016, 1186","Algorithms, Part I, Analysis of Algorithms, Automata, Analytic Combinatorics, Concepts in Game Development, DB: Introduction to Databases, Begin programming: build your first mobile game, CS50x: Introduction to Computer Science, CS 6210, Advanced Operating Systems, Principles of Reactive Programming"
Computer Vision: From 3D Reconstruction to Visual Recognition,341,"139, 80, 29, 26, 26, 24, 23, 22, 21, 20","322, 1022, 373, 855, 1020, 548, 627, 1311, 318, 1176","Computer Vision: The Fundamentals, CS 4495, Computer Vision, Machine Learning, Einführung in Computer Vision, CS 7641, Machine Learning, CS184.1x: Foundations of Computer Graphics, Information Visualization, Discrete Inference and Learning in Artificial Vision, Computer Security, Concepts in Game Development"
Computer Architecture,342,"29, 26, 25, 25, 24, 24, 22, 21, 21, 21","339, 452, 1007, 408, 642, 376, 1016, 442, 306, 1176","Algorithms, Part I, Programming Languages, Introduction to Enterprise Computing, An Introduction to Interactive Programming in Python, Introduction to Computer Architecture, Automata, CS 6210, Advanced Operating Systems, CS50x: Introduction to Computer Science, Human-Computer Interaction, Concepts in Game Development"
Gamification,343,"49, 44, 39, 37, 34, 33, 32, 31, 31, 30","345, 840, 470, 546, 627, 1327, 902, 893, 900, 372","Introduction to Finance, Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship, Technology Entrepreneurship Part 1, Foundations of Business Strategy, Information Visualization, What’s Your Big Idea?, Strategic Management, Big Data for Better Performance, Principles of Project Management, An Introduction to Operations Management"
Health Policy and the Affordable Care Act,344,"4, 4, 3, 3, 2, 2, 2, 2, 2, 2","343, 898, 372, 301, 733, 625, 535, 1062, 555, 1614","Gamification, Introduction to Nursing in Healthcare, An Introduction to Operations Management, Introduction to Artificial Intelligence, Epidemiology: The Basic Science of Public Health, An Introduction to Corporate Finance, Fundamentals of Human Nutrition, Introduction to Elements of Pain, Social Psychology, BUS5.1x: Innovating in Health Care"
Introduction to Finance,345,"125, 108, 99, 98, 97, 95, 86, 85, 75, 65","912, 894, 460, 840, 895, 1611, 470, 893, 370, 317","Financial Markets, Financial Literacy, Introduction to Computational Finance and Financial Econometrics, Developing Innovative Ideas for New Companies: The First Step in Entrepreneurship, Financial Planning, Financial Analysis, Technology Entrepreneurship Part 1, Big Data for Better Performance, Introduction to Mathematical Thinking, Model Thinking"
Basic Behavioral Neurology,346,"26, 18, 16, 12, 11, 11, 11, 10, 9, 9","384, 403, 1538, 897, 380, 348, 1034, 1418, 555, 499","Medical Neuroscience, Drugs and the Brain, Introduction to Clinical Neurology, Foundations of Psychology, Introductory Human Physiology, Fundamentals of Pharmacology, Major Depression in the Population: A Public Health Approach, Understanding Common Diseases, Social Psychology, Introduction to Pharmacy"
"Cardiac Arrest, Hypothermia, and Resuscitation Science",347,"11, 11, 8, 7, 7, 6, 6, 5, 5, 5","1418, 1446, 348, 346, 384, 1538, 1062, 1447, 1034, 481","Understanding Common Diseases, Exploring anatomy: the human abdomen, Fundamentals of Pharmacology, Basic Behavioral Neurology, Medical Neuroscience, Introduction to Clinical Neurology, Introduction to Elements of Pain, Good brain, bad brain: Parkinson's disease, Major Depression in the Population: A Public Health Approach, Disaster Preparedness"
Fundamentals of Pharmacology,348,"42, 21, 16, 16, 15, 15, 14, 12, 11, 11","499, 1418, 403, 898, 380, 1538, 896, 384, 1448, 346","Introduction to Pharmacy, Understanding Common Diseases, Drugs and the Brain, Introduction to Nursing in Healthcare, Introductory Human Physiology, Introduction to Clinical Neurology, Food, Nutrition & Your Health, Medical Neuroscience, Understanding Drugs and Addiction, Basic Behavioral Neurology"
Experimental Genome Science,349,"3, 3, 3, 3, 2, 2, 2, 2, 2, 2","386, 1368, 681, 741, 382, 1279, 403, 1351, 1332, 1260","Data Analysis, Bioinformatic Methods I, Human Evolution: Past and Future, The Future of Humankind, Introduction to Astronomy, Numbers for Life, Drugs and the Brain, Introduction to Chemistry, The Science of Everyday Thinking, The mind is flat: the shocking shallowness of human psychology"
Vaccines,350,"9, 7, 5, 4, 4, 4, 4, 4, 4, 4","348, 499, 403, 896, 664, 597, 460, 898, 380, 384","Fundamentals of Pharmacology, Introduction to Pharmacy, Drugs and the Brain, Food, Nutrition & Your Health, Diabetes - a Global Challenge, Genes and the Human Condition (From Behavior to Biotechnology), Introduction to Computational Finance and Financial Econometrics, Introduction to Nursing in Healthcare, Introductory Human Physiology, Medical Neuroscience"
A History of the World since 1300,351,"24, 18, 16, 15, 13, 10, 10, 10, 10, 9","430, 352, 418, 566, 502, 616, 353, 354, 383, 892","The Modern World: Global History since 1760, Fantasy and Science Fiction: The Human Mind, Our Modern World, Introduction to Philosophy, A Brief History of Humankind, The Ancient Greeks, Cryptography I, Greek and Roman Mythology, Introduction to Sociology, Think Again: How to Reason and Argue, Becoming Human: Anthropology"
"Fantasy and Science Fiction: The Human Mind, Our Modern World",352,"62, 48, 36, 32, 31, 27, 26, 24, 24, 23","317, 766, 345, 990, 418, 383, 1561, 370, 1449, 1574","Model Thinking, Crafting an Effective Writer: Tools of the Trade, Introduction to Finance, Stunt Writing for Personal Growth, Introduction to Philosophy, Think Again: How to Reason and Argue, College Writing 2.2x: Principles of Written English, Introduction to Mathematical Thinking, A beginners’ guide to writing in English for university study, How to read... a mind"
Greek and Roman Mythology,353,"12, 10, 9, 8, 7, 6, 6, 6, 5, 5","352, 351, 418, 502, 910, 579, 383, 926, 609, 997","Fantasy and Science Fiction: The Human Mind, Our Modern World, A History of the World since 1300, Introduction to Philosophy, The Ancient Greeks, Roman Architecture, History of Ancient Civilization, Think Again: How to Reason and Argue, 24.00x: Introduction to Philosophy: God, Knowledge and Consciousness, CB22x: The Ancient Greek Hero, Astronomy: Discovering the Universe"
Introduction to Sociology,354,"27, 26, 21, 18, 16, 16, 15, 14, 13, 12","555, 1416, 1593, 946, 317, 892, 1355, 308, 897, 638","Social Psychology, Sociology, Introduction to Sociology, SOC108x: Introduction to Global Sociology, Model Thinking, Becoming Human: Anthropology, Buddhism and Modern Psychology , Game Theory, Foundations of Psychology, Introduction to Psychology as a Science"
Listening to World Music,355,"17, 15, 12, 10, 9, 9, 8, 8, 8, 7","538, 821, 383, 1535, 521, 523, 352, 1269, 1135, 1333","Music's Big Bang, Introduction to Classical Music, Think Again: How to Reason and Argue, Music 1030: Introduction to Music, Jazz Improvisation, Songwriting, Fantasy and Science Fiction: The Human Mind, Our Modern World, How to Change the World, The Music of the Beatles, College Writing 2.1x: Principles of Written English"
Modern & Contemporary American Poetry,356,"9, 6, 5, 5, 5, 5, 5, 4, 4, 4","352, 351, 766, 989, 933, 418, 523, 889, 359, 598","Fantasy and Science Fiction: The Human Mind, Our Modern World, A History of the World since 1300, Crafting an Effective Writer: Tools of the Trade, Thinking Like a Writer, AI12.1x: Poetry in America: The Poetry of Early New England, Introduction to Philosophy, Songwriting, Introduction to Public Speaking, Networks: Friends, Money, and Bytes, The Modern and the Postmodern"
Software Engineering for SaaS,357,"21, 19, 15, 11, 9, 9, 7, 7, 7, 7","305, 443, 558, 303, 417, 366, 835, 375, 616, 309","Software as a Service, CS169.1x: Software as a Service, CS169.2x: Software as a Service, Introduction to Databases, Information Security and Risk Management in Context, Learning from Data (Introductory Machine Learning course), Machine Learning, Computer Science 101, Cryptography I, Probabilistic Graphical Models"
Design and Analysis of Algorithms I (re-run),358
"Networks: Friends, Money, and Bytes",359,"28, 22, 21, 21, 19, 17, 16, 16, 16, 16","1341, 824, 835, 921, 339, 335, 454, 303, 1480, 306","Introduction to Computer Science and Programming Using Python, Computer Networks, Machine Learning, Analysis of Algorithms, Algorithms, Part I, Internet History, Technology, and Security, Web Intelligence and Big Data, Introduction to Databases, Intro to Data Science, Human-Computer Interaction"
Cryptography (re-run),360
Introduction to Statistics,361,"184, 154, 97, 91, 89, 68, 65, 63, 60, 53","631, 1579, 1349, 334, 614, 388, 595, 386, 370, 596","Statistics, StatLearning: Statistical Learning, Data Analysis and Statistical Inference , Statistics One, Stat2.1x: Introduction to Statistics: Descriptive Statistics, Computing for Data Analysis, Computational Methods for Data Analysis, Data Analysis, Introduction to Mathematical Thinking, Mathematical Biostatistics Boot Camp 1"
CS221 - Logic & Discrete Mathematics - Foundations of Computing,362
Introduction to Physics,363,"32, 25, 18, 16, 16, 14, 13, 11, 11, 11","1174, 825, 629, 630, 375, 997, 361, 726, 456, 592","Basic Physics, Introductory Physics I with Laboratory, Visualizing Algebra, College Algebra, Computer Science 101, Astronomy: Discovering the Universe, Introduction to Statistics, Physics 1 for Physical Science Majors, Differential Equations in Action, Introduction to Artificial Intelligence"
Algorithms,364,"41, 39, 39, 37, 36, 32, 30, 27, 26, 26","366, 323, 1010, 325, 324, 320, 1470, 455, 442, 339","Learning from Data (Introductory Machine Learning course), Design of Computer Programs, DCO042 - Python For Informatics, Programming Languages, Web Development, Introduction to Computer Science, Introduction to Hadoop and MapReduce, Intro to Theoretical Computer Science, CS50x: Introduction to Computer Science, Algorithms, Part I"
Software Testing,365,"71, 45, 39, 37, 32, 30, 29, 29, 27, 26","457, 323, 325, 324, 831, 320, 375, 326, 1010, 1019","Software Debugging, Design of Computer Programs, Programming Languages, Web Development, Introduction to Programming in Java, Introduction to Computer Science, Computer Science 101, CS387 - Applied Cryptography, DCO042 - Python For Informatics, CS 6300, Software Development Process"
Learning from Data (Introductory Machine Learning course),366,"80, 74, 69, 58, 55, 55, 52, 51, 48, 47","1020, 1010, 835, 1480, 1470, 373, 592, 893, 465, 303","CS 7641, Machine Learning, DCO042 - Python For Informatics, Machine Learning, Intro to Data Science, Introduction to Hadoop and MapReduce, Machine Learning, Introduction to Artificial Intelligence, Big Data for Better Performance, In-Memory Data Management, Introduction to Databases"
Quantum Mechanics and Quantum Computation,367,"15, 5, 4, 4, 3, 3, 3, 3, 3, 3","613, 1185, 376, 836, 835, 374, 370, 342, 417, 1182","CS191x: Quantum Mechanics and Quantum Computation, QMSE01: Quantum Mechanics for Scientists and Engineers, Automata, Natural Language Processing, Machine Learning, Algorithms: Design and Analysis, Part 1, Introduction to Mathematical Thinking, Computer Architecture, Information Security and Risk Management in Context, Introduction to Dynamical Systems and Chaos"
