"Course Id","Course Name",Provider,Universities/Institutions,"Parent Subject","Child Subject",Url,"Next Session Date",Length,Video(Url)
337,"Securing Digital Democracy",Coursera,"University of Michigan",Humanities,"Politics, Law, and Society",https://www.coursera.org/course/digitaldemocracy,"6th Oct, 2014",7,https://d1a2y8pfnfh44t.cloudfront.net/ks6uMdDD1CM/|||https://d15cw65ipctsrr.cloudfront.net/17/05e420352d11e494bcf927fb09cbc9/large-icon.png
338,"Social Network Analysis",Coursera,"University of Michigan","Social Sciences",,https://www.coursera.org/course/sna,"6th Oct, 2014",,https://d1a2y8pfnfh44t.cloudfront.net/AJGGiAb47S4/|||https://d15cw65ipctsrr.cloudfront.net/43/157e40352d11e4aeabbf8c949e23f9/large-icon.png
339,"Algorithms, Part I",Coursera,"Princeton University","Computer Science",,https://www.coursera.org/course/algs4partI,"23rd Jan, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/gZV5jVF8lJ8/|||https://d15cw65ipctsrr.cloudfront.net/06/1e5890352d11e48e9c2583f964c285/large-icon.png
340,"Algorithms, Part II",Coursera,"Princeton University","Computer Science",,https://www.coursera.org/course/algs4partII,"31st Oct, 2014",7,https://d1a2y8pfnfh44t.cloudfront.net/GO8frjxq25I/|||https://d15cw65ipctsrr.cloudfront.net/06/672160352d11e4b1518bb3518fcc93/large-icon.png
342,"Computer Architecture",Coursera,"Princeton University","Computer Science",,https://www.coursera.org/course/comparch,"20th Sep, 2014",11,https://d1a2y8pfnfh44t.cloudfront.net/nkozG17Q_34/|||https://d15cw65ipctsrr.cloudfront.net/0d/0613a0352d11e49dc56df018365453/large-icon.png
343,Gamification,Coursera,"University of Pennsylvania","Business & Management",,https://www.coursera.org/course/gamification,"26th Jan, 2015",6,https://d1a2y8pfnfh44t.cloudfront.net/rzihbzxC_6Y/|||https://d15cw65ipctsrr.cloudfront.net/1f/b98590352d11e4a4351b48ac74e750/large-icon.png
344,"Health Policy and the Affordable Care Act",Coursera,"University of Pennsylvania","Health & Medicine","Health & Society",https://www.coursera.org/course/healthpolicy,"25th Mar, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/I9HDz30z6Kk/|||https://d15cw65ipctsrr.cloudfront.net/24/33ea20352d11e4aa3c599183b828af/large-icon.png
345,"Introduction to Finance",Coursera,"University of Michigan","Business & Management","Marketing & Finance",https://www.coursera.org/course/introfinance,"2nd Feb, 2015",15,https://d1a2y8pfnfh44t.cloudfront.net/EuAnVd2mfGE/|||https://d15cw65ipctsrr.cloudfront.net/2c/040960352d11e4b05ae9c2725d6852/large-icon.png
346,"Basic Behavioral Neurology",Coursera,"University of Pennsylvania","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/neurobehavior,NA,,https://www.youtube.com/watch?v=ceFOoPrw93c
347,"Cardiac Arrest, Hypothermia, and Resuscitation Science",Coursera,"University of Pennsylvania","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/cardiacarrest,NA,,https://d1a2y8pfnfh44t.cloudfront.net/hzKeMR8i00E/|||https://d15cw65ipctsrr.cloudfront.net/0b/ac5000352d11e485fc9138b3373442/large-icon.png
348,"Fundamentals of Pharmacology",Coursera,"University of Pennsylvania","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/pharm101,NA,,https://d1a2y8pfnfh44t.cloudfront.net/UhmdnB9YSz8/|||https://d15cw65ipctsrr.cloudfront.net/3b/617280352d11e4b05ae9c2725d6852/large-icon.png
349,"Experimental Genome Science",Coursera,"University of Pennsylvania",Science,"Chemistry, Biology, & Life Sciences",https://www.coursera.org/course/genomescience,,,https://d1a2y8pfnfh44t.cloudfront.net/WTvntDF4XL8/|||https://d15cw65ipctsrr.cloudfront.net/20/ed4aa0352d11e4ae1bdd88b9e8f59b/large-icon.png
350,Vaccines,Coursera,"University of Pennsylvania","Health & Medicine","Disease and Medicine",https://www.coursera.org/course/vaccines,"3rd Sep, 2013",,https://d1a2y8pfnfh44t.cloudfront.net/lcNuMVT1fM0/|||https://d15cw65ipctsrr.cloudfront.net/45/59a1e0352d11e4a20a15dee8e65a23/large-icon.png
